author,title,description,url,source,published_at
AFP,South Korea says ‘significant’ number of leaked US docs are fake,"South Korea on Tuesday said a ""significant portion"" of leaked US intelligence documents indicating concerns in Seoul about arms supplies to Ukraine were fake.The post South Korea says &#8216;significant&#8217; number of leaked US docs are fake appeared first on Nehanda Radio.",https://nehandaradio.com/2023/04/11/south-korea-says-significant-number-of-leaked-us-docs-are-fake/,nehandaradio,2023-04-11
CNN Newssource,"5 things to know for April 11: Louisville shooting, Covid, Fungus, Ukraine, Dalai Lama","By Alexandra Meeks, CNN As the Pentagon investigates a major leak of classified documents that recently turned up on social media sites, dozens of them remain viewable on Twitter. This type of sensitive government information can slip under the radar for weeks, analysts say, because some social networks lack policies against posting classified information. Here&#8217;sThe post 5 things to know for April 11: Louisville shooting, Covid, Fungus, Ukraine, Dalai Lama appeared first on KRDO.",https://krdo.com/news/2023/04/11/5-things-to-know-for-april-11-louisville-shooting-covid-fungus-ukraine-dalai-lama/,krdo,2023-04-11
Associated Press,Brittney Griner working on memoir about Russian captivity,"NEW YORK &#8212; Saying she is ready to share the &#8220;unfathomable&#8221; experience of being arrested and incarcerated in Russia, basketball star Brittney Griner is working on a memoir that is scheduled for spring 2024. Griner was arrested last year at the airport in Moscow on drug-related charges and detained for nearly 10 months, much of [&#8230;]",https://torontosun.com/news/world/brittney-griner-working-on-memoir-about-russian-captivity,torontosun,2023-04-11
"Sara Dorn, Forbes Staff","Here’s Why U.S. Officials Feel ‘Sick’ Over Defense Leaks: Secrets About Allies, Alliances With Russia And Doubts About Ukraine’s Strength","“I’m sick to my stomach,” a Department of Defense official told Politico about the breach.",https://www.forbes.com/sites/saradorn/2023/04/11/heres-why-us-officials-feel-sick-over-defense-leaks-secrets-about-allies-alliances-with-russia-and-doubts-about-ukraines-strength/,Forbes,2023-04-11
Associated Press,Brittney Griner working on memoir about Russian captivity,"Saying she is ready to share the “unfathomable” experience of being arrested and incarcerated in Russia, basketball star Brittney Griner is working on a memoir that is scheduled for spring 2024.",https://www.kgun9.com/news/national/brittney-griner-working-on-memoir-about-russian-captivity,kgun9,2023-04-11
,Prostitution: An Unwanted Brand Of Contemporary Ukraine – Analysis,"After the collapse of the Soviet Union and the independence of Ukraine in 1991, the Ukrainian government launched efforts to transition the economy from a planned to a market economy. The transition process created serious economic difficulties and misery in the country. In the first decade of Ukrainian independence, almost 80% of the population was pushed into a state of poverty. Unemployment rose at a galloping rate, with female unemployment rising to a staggering 64% in 1997. The economic collapse left the nation vulnerable and forced many women to enter the hellish world of prostitution and...",https://api.follow.it/track-rss-story-click/v3/Qw9d99ManWcHY7jAWnbYD4eLGixeGJZp,eurasiareview,2023-04-11
,"REC, Belveb and VEB.RF Will Finance Modernization of Grodno Azot","A group of companies of the Russian Export Center (REC), Bank BelVEB and VEB.RF will participate in the financing of an investment project for the reconstruction of the Ammonia-4 workshop of Belarus' Grodno Azot, a credit line of 3.25 billion rubles will be opened for seven years, the REC said.",https://sputnikglobe.com/20230411/rec-belveb-and-vebrf-will-finance-modernization-of-grodno-azot-1109349173.html,en,2023-04-11
The Associated Press,Ukraine resumes electricity exports despite Russian attacks,"KYIV, Ukraine (AP) &#8212; Ukraine began resuming electricity exports to European countries on Tuesday, its energy minister said, a dramatic turnaround from six months ago when fierce Russian bombardment of power stations plunged much of the country into darkness in a bid to demoralize the population. The announcement by Energy Minister Herman Halushchenko that Ukraine [&#8230;]",https://nationalpost.com/pmn/news-pmn/ukraine-resumes-electricity-exports-despite-russian-attacks,nationalpost,2023-04-11
SAMYA KULLAB,Ukraine resumes electricity exports despite Russian attacks,"Ukraine's energy ministger says the country has begun resuming electricity exports to European countries, in a dramatic turnaround from just six months ago",https://www.sandiegouniontribune.com/news/nation-world/story/2023-04-11/ukraine-resumes-electricity-exports-despite-russian-attacks,signonsandiego,2023-04-11
Associated Press,Ukraine resumes electricity exports despite Russian attacks,"Ukraine began resuming electricity exports to European countries on Tuesday, its energy minister said, a dramatic turnaround from six months ago when fierce Russian bombardment of power stations plunged much of the country into darkness in a bid to demoralize the population. The announcement by Energy Minister Herman Halushchenko that Ukraine was not only meeting domestic consumption demands but also ready to restart exports to its neighbors was a clear message that Moscow's attempt to weaken Ukraine by targeting its infrastructure did not work. Ukraine's domestic energy demand is “100...",https://ca.sports.yahoo.com/news/ukraine-resumes-electricity-exports-despite-164554899.html?src=rss,sports,2023-04-11
,Ukraine resumes electricity exports despite Russian attacks,"Ukraine's energy ministger says the country has begun resuming electricity exports to European countries, in a dramatic turnaround from just six months ago",https://www.marketbeat.com/articles/ukraine-resumes-electricity-exports-despite-russian-attacks-2023-04-11/,lulegacy,2023-04-11
