Latitude,Longitude,Date,Town,Oblast,Country,Incident_type,Incident_sub_type,Source_1
46.975033,31.994583,8/13/2022,Mykolaiv,Mykolaiv Oblast,UA,land,indirect_fire,https://kyivindependent.com/national/mykolaiv-mayor-wartime-duty-taking-care-of-the-living-counting-the-dead
46.635417,32.616867,10/24/2022,Kherson,Kherson Oblast,UA,air,loitering_munition,https://kyivindependent.com/national/ukraine-war-latest-armed-forces-liberate-4-settlements-in-donbas
46.635417,32.616867,11/17/2022,Kherson,Kherson Oblast,UA,targeted,abduction,https://kyivindependent.com/national/tortured-khersonians-speak-of-russias-crimes
50.4501,30.5234,10/17/2022,Kyiv,Kyiv city,UA,air,loitering_munition,https://kyivindependent.com/national/russia-launches-first-ever-kamikaze-drone-attack-on-kyiv
50.4501,30.5234,3/17/2022,Kyiv,Kyiv city,UA,land,indirect_fire,https://kyivindependent.com/national/russian-soldiers-shoot-dead-mother-of-two-as-she-drives-family-to-safety
48.1031637,38.5920837,2/27/2022,,Donbas,UA,blast,uxo,https://kyivindependent.com/national/amid-fierce-defense-ukraine-fails-russian-blitz-victory-plans
47.097133,37.543367,3/9/2022,Mariupol,Donetsk Oblast,UA,air,fixed_wing,https://kyivindependent.com/national/ukraine-evacuates-48000-people-many-still-in-dire-conditions-amid-russian-attacks
48.5986674,37.9980367,10/31/2022,Bakhmut,Donetsk Oblast,UA,air,loitering_munition,https://kyivindependent.com/national/ukraine-war-latest-russia-carries-out-mass-attacks-on-ukraines-energy-sites-causing-power-water-outages
49.9935,36.230383,4/24/2022,Kharkiv,Kharkiv Oblast,UA,land,indirect_fire,https://kyivindependent.com/national/kharkiv-residents-under-fire-i-hear-some-shelling-every-hour
48.9897585,37.8049964,5/27/2022,Lyman,Donetsk Oblast,UA,land,indirect_fire,https://kyivindependent.com/national/welcome-to-hell-ukrainian-airborne-fighting-russia-in-donbas-woods
48.9481767,38.4878773,6/15/2022,Severodonetsk,Luhansk Oblast,UA,land,indirect_fire,https://kyivindependent.com/national/russian-troops-seize-majority-of-embattled-sievierodonetsk-civilian-evacuation-continues-despite-complications
