Latitude,Longitude,Date,Town,Oblast,Country,Incident_type,Incident_sub_type,Source_1
49.0161213,38.3751404,3/23/2022,Rubizhne,Luhansk Oblast,UA,land,indirect_fire,https://www.pravda.com.ua/eng/news/2022/03/23/7333796/
48.1031637,38.5920837,11/20/2022,NA,Donbas,UA,missile,,https://www.pravda.com.ua/eng/news/2022/11/20/7377128/
50.0331068,36.360673,4/3/2022,Kharkiv,Kharkiv Oblast,UA,land,indirect_fire,https://www.pravda.com.ua/eng/news/2022/04/3/7336784/
49.9935,36.230383,6/21/2022,Kharkiv,Kharkiv Oblast,UA,land,indirect_fire,https://www.pravda.com.ua/eng/news/2022/06/21/7353812/
50.553333,30.213517,11/13/2022,Bucha,Kyiv Oblast,UA,targeted,intimidation,https://www.pravda.com.ua/eng/news/2022/11/13/7376190/
48.6161912,37.5272187,5/7/2022,Druzhkivka,Donetsk Oblast,UA,land,indirect_fire,https://www.pravda.com.ua/eng/news/2022/05/7/7344635/
48.560407,38.6487184,7/24/2022,Kadiivka,Luhansk Oblast,UA,land,indirect_fire,https://www.pravda.com.ua/eng/news/2022/07/24/7359877/
50.9077,34.7981,6/30/2022,Sumy,Sumy Oblast,UA,land,indirect_fire,https://www.pravda.com.ua/eng/news/2022/06/30/7355493/
48.464717,35.046183,10/3/2022,Dnipro,Dnipropetrovsk Oblast,UA,land,indirect_fire,https://www.pravda.com.ua/eng/news/2022/10/3/7370090/
50.2940634,24.2508161,9/10/2022,Sosnivka,Lviv Oblast,UA,land,indirect_fire,https://www.pravda.com.ua/eng/news/2022/09/10/7366935/
47.5015067,34.6341859,9/1/2022,Enerhodar,Zaporizhia Oblast,UA,land,indirect_fire,https://www.pravda.com.ua/eng/news/2022/09/1/7365621/
50.9077,34.7981,6/29/2022,Sumy,Sumy Oblast,UA,land,indirect_fire,https://www.pravda.com.ua/eng/news/2022/06/29/7355292/
47.8378013,35.123841,4/29/2022,Zaporizhzhia,Zaporizhia Oblast,UA,security,arrest,https://www.pravda.com.ua/eng/news/2022/04/29/7342928/
50.4501,30.5234,3/16/2022,Kyiv,Kyiv city,UA,land,indirect_fire,https://www.pravda.com.ua/eng/news/2022/03/16/7331783/
49.065783,33.410033,6/28/2022,Kremenchuk,Poltava Oblast,UA,missile,,https://www.pravda.com.ua/eng/news/2022/06/28/7355144/
50.4501,30.5234,10/14/2022,Kyiv,Kyiv city,UA,missile,,https://www.pravda.com.ua/eng/news/2022/10/14/7371971/
48.464717,35.046183,7/18/2022,Dnipro,Dnipropetrovsk Oblast,UA,missile,,https://www.pravda.com.ua/eng/news/2022/07/18/7358807/
46.975033,31.994583,7/1/2022,Mykolaiv,Mykolaiv Oblast,UA,missile,,https://www.pravda.com.ua/eng/news/2022/07/1/7355712/
49.7055574,37.6027997,12/13/2022,Kup'yans'k,Kharkiv Oblast,UA,missile,,https://www.pravda.com.ua/eng/news/2022/12/13/7380496/
50.4501,30.5234,10/19/2022,Kyiv,Kyiv city,UA,air,loitering_munition,https://www.pravda.com.ua/eng/news/2022/10/19/7372625/
48.7614287,38.2501567,7/10/2022,Berestove,Donetsk Oblast,UA,land,indirect_fire,https://www.pravda.com.ua/eng/news/2022/07/10/7357293/
48.136596,37.7491335,10/12/2022,Avdiivka,Donetsk Oblast,UA,land,indirect_fire,https://www.pravda.com.ua/eng/news/2022/10/12/7371599/
49.9935,36.230383,8/15/2022,Kharkiv,Kharkiv Oblast,UA,land,indirect_fire,https://www.pravda.com.ua/eng/news/2022/08/15/7363262/
47.097133,37.543367,4/18/2022,Mariupol,Donetsk Oblast,UA,land,indirect_fire,https://www.pravda.com.ua/eng/news/2022/04/18/7340412/
49.553517,25.594767,4/4/2022,Ternopil,Ternopil Oblast,UA,missile,,https://www.pravda.com.ua/eng/news/2022/04/4/7336936/
48.3204647,37.3471608,9/21/2022,Mykolaivka,Donetsk Oblast,UA,land,indirect_fire,https://www.pravda.com.ua/eng/news/2022/09/21/7368393/
47.82987,37.6485943,7/29/2022,Olenivka,Donetsk Oblast,UA,land,indirect_fire,https://www.pravda.com.ua/eng/news/2022/07/29/7360938/
50.2330564,36.2334492,6/14/2022,Dementiivka,Kharkiv Oblast,UA,land,indirect_fire,https://www.pravda.com.ua/eng/news/2022/06/14/7352487/
46.975033,31.994583,8/30/2022,Mykolaiv,Mykolaiv Oblast,UA,land,indirect_fire,https://www.pravda.com.ua/eng/news/2022/08/30/7365412/
50.4501,30.5234,10/19/2022,Kyiv,Kyiv city,UA,air,loitering_munition,https://www.pravda.com.ua/eng/news/2022/10/19/7372587/
46.635417,32.616867,6/7/2022,Kherson,Kherson Oblast,UA,blast,ied,https://www.pravda.com.ua/eng/news/2022/06/7/7351034/
50.4501,30.5234,12/9/2022,Kyiv,Kyiv city,UA,security,arrest,https://www.pravda.com.ua/eng/news/2022/12/9/7380102/
47.660528,33.7205403,6/15/2022,Apostolove,Dnipropetrovsk Oblast,UA,land,indirect_fire,https://www.pravda.com.ua/eng/news/2022/06/15/7352543/
50.9077,34.7981,8/30/2022,Sumy,Sumy Oblast,UA,land,indirect_fire,https://www.pravda.com.ua/eng/news/2022/08/30/7365299/
51.4982,31.28935,2/28/2022,Chernihiv,Chernihiv Oblast,UA,land,indirect_fire,https://www.pravda.com.ua/eng/news/2022/02/28/7326704/
48.464717,35.046183,9/12/2022,Dnipro,Dnipropetrovsk Oblast,UA,air,surface_to_air,https://www.pravda.com.ua/eng/news/2022/09/12/7367088/
50.4501,30.5234,11/23/2022,Kyiv,Kyiv city,UA,missile,,https://www.pravda.com.ua/eng/news/2022/11/23/7377681/
48.516033,34.6128617,9/19/2022,Kamianske,Dnipropetrovsk Oblast,UA,air,fixed_wing,https://www.pravda.com.ua/eng/news/2022/09/19/7368108/
